IP,Time,Processor Time,Page Faults,Cache Faults,Available Bytes,Committed Bytes,Response Time
DESKTOP-Q00J1OI,12:32:42,30.83812,4249.6533,108.10469,1.04449638E9,1.36021074E10,14855125000
URMILA-PC,12:32:46,1.906338,4823.1836,0.797814,4.3324129E9,5.3199913E9,2726624200
mahananda,12:32:31,15.749181,9799.719,59.856575,1.55410022E9,4.4685763E9,21004882100
DESKTOP-Q00J1OI,12:33:02,18.331108,1878.0507,1.196973,1.01446042E9,1.36205517E10,6456224400
URMILA-PC,12:33:06,1.124269,4393.4194,0.0,4.3318313E9,5.3223916E9,7866814000
DESKTOP-Q00J1OI,12:33:12,25.946304,4113.5396,86.01055,1.03712768E9,1.35994614E10,9317437200
mahananda,12:32:31,15.749181,9799.719,59.856575,1.55410022E9,4.4685763E9,21033701700
URMILA-PC,12:33:26,0.866042,3486.4297,12.798641,4.3437629E9,5.2990157E9,6236943000
DESKTOP-Q00J1OI,12:33:33,36.885223,3209.4285,17.173397,1.02724403E9,1.35975363E10,9964214300
mahananda,12:32:31,15.749181,9799.719,59.856575,1.55410022E9,4.4685763E9,21020307800
mahananda,12:32:31,15.749181,9799.719,59.856575,1.55410022E9,4.4685763E9,21032489800
URMILA-PC,09:00:21,14.427355,76610.12,29634.02,3.98440038E9,5.4683197E9,20061893100
URMILA-PC,09:47:35,0.683219,4060.7048,13.576278,4.21687296E9,5.4170092E9,9803867500
URMILA-PC,09:47:35,0.683219,4060.7048,13.576278,4.21687296E9,5.4170092E9,1630006600
URMILA-PC,09:47:35,0.683219,4060.7048,13.576278,4.21687296E9,5.4170092E9,1562805000
URMILA-PC,09:47:45,3.128042,5763.9473,3.599717,4.21753242E9,5.4162063E9,420809100
DESKTOP-Q00J1OI,09:47:48,35.755306,3037.0425,45.10558,1.0388439E9,1.60728269E10,11645746800
URMILA-PC,09:47:45,3.128042,5763.9473,3.599717,4.21753242E9,5.4162063E9,5151483100
DESKTOP-Q00J1OI,09:47:48,35.755306,3037.0425,45.10558,1.0388439E9,1.60728269E10,19818226100
DESKTOP-Q00J1OI,09:47:48,35.755306,3037.0425,45.10558,1.0388439E9,1.60728269E10,5154603400
DESKTOP-Q00J1OI,09:47:48,35.755306,3037.0425,45.10558,1.0388439E9,1.60728269E10,11578664500
URMILA-PC,09:48:25,3.515276,3926.6575,0.0,4.2998456E9,5.4195036E9,1989227100
DESKTOP-Q00J1OI,09:48:40,36.598934,4972.7476,112.19576,1.00456858E9,1.61277788E10,8263241000
